acemi er
büyük atardamar
büyük harf
büyük tansiyon
bıyıklı balık
cam kanatlılar
canlı resim
canlı özdekçilik
cansız hedef
cari gider
cari hesap
cari kur
cari masraf
cari para
cari ücret
cebirsel deyim
cebirsel formül
cebirsel ifade
cebrî yürüyüş
cevaplı telgraf
cici mama
cins isim
cirit atma
cıvalı zar
cıvık mantarlar
dalgalı akım
dalgalı borçlar
dalgalı kur
dalgıç böcekler
damar aktarma
damar tabaka
damla taş
dar aralık
dar boğaz
dağınık ışık
delice bakla
delice doğan
demir oksit
demir perde
demir sülfat
demirli beton
deniz kulağı (ii)
denk küme
derin soğutma
derisi dikenliler
destekli bütçe
dev köpek balığıgiller
devlet baba
devrik cümle
değer artırma
değer düşürme
değiş tokuş
değişen yıldız
değişimli ünsüzler
değişken maliyet
değişmez maliyet
diferansiyel denklem
diferansiyel hesap
dik biçme
dik rüzgâr
dik silindir
dik yamuk
dik üçgen
dikdörtgensel bölge
dikenli balık
dikenli meyan
dikenli salyangoz
dikenli yüzgeçliler
dikey geçiş
dilli düdük
dinamik analiz
dirim bilimcilik
disk atma
dizi film
dişi organ
dogmatik felsefe
dolanlı iflas
dolaylı tümleç
dolaylı özne
doyuran buhar
doğal fiyat
doğru akım
duraklı dalga
durgun şişkinlik
duromer plastik
duyar kat
dâhilî deniz
dâhilî harp
dâhilî nizamname
dâhilî talimatname
dönencel ay
dönencel yıl
döner sahne
döner sermaye
dönüşlü fiil
dönüşlü zamir
dördüncü çağ
dördüz yumrucuklar
dört ayaklılar
dört dörtlük
dört göz
dört işlem
dörtlü final
düz kanatlılar
düz tümleç
düzeltici jimnastik
düzlem küre
düşey düzlem
dış alım
dış asalak
dış başkalaşım
dış bellek
dış beslenme
dış borç
dış borçlanma
dış evlilik
dış gebelik
dış gezegen
dış kavuz
dış kulak
dış pazar
dış pazarlama
dış piyasa
dış plazma
dış satım
dış ticaret
dış vurum
dış yarıçap
dış zar
dış çevre
dış çokgen
dışa vurum
dışarıdan evlenme
dıştan evlilik
edatlı tümleç
edebî eser
edebî sanat
edilgen fiil
efektif alış
efektif döviz
efektif fiyat
efektif kur
efektif satış
efektif talep
ek bütçe
ek ders
ek eylem
ek fiil
ek kart
ek kök
ek oylum
ek poliçe
ek ödenek
eklem bacaklılar
ekliptik düzlem
eksi uç
eksik etek
ekşi elma
ekşi kiraz
ekşi yonca
emici kıllar
emici tüyler
er ekmeği
ereksel neden
ergimiş maden
erkek organ
erken bunama
esas duruş
esas vaziyet
eski çağ
esmer buğday
esmer küf
esmer küfler
et toprak
etil alkol
etken fiil
etkin okul
etkin öğretim
etli meyve
ettirgen fiil
evren bilimsel
evvel bahar
eğik biçme
eğik düzlem
eğik silindir
eş anlam
eş bacaklılar
eş basınç
eş biçim
eş cinsel
eş deprem
eş koşma
eş ölçüm
eşeysiz üreme
eşkenar dörtgen
eşkenar üçgen
fakir cevher
fasit daire
fason imalat
fason mal
fason üretim
fevkalade hâl
fiziki coğrafya
fiziki harita
forma başlık
formik asit
fosforik asit
gagalı memeliler
gama globulin
gaz beton
gelecek zaman
gelin abla
genel ağ
genel bütçe
genel zekâ
geniş zaman
geometrik çizim
geri hizmet
geri çekilme
gerileyici benzeşme
gerçek mantarlar
geviş getirenler
geviş getirmeyenler
gezici topluluk
geçici madde
geçici teminat
geçmiş zaman
gideren alan
girişik bezeme
girişik cümle
girişik tamlama
girişim ölçme
gizli celse
gizli din
gizli şeker
gotik harfler
gök ada
gök yakut
gölge olay
gölge olaycılık
gömme balkon
gömme banyo
gömme dolap
göz pencere
gözlüklü yılan
gücük ay
gülle atma
gümüş yağmurcun
gümüşi akasya
güne doğrulum
güney küre
günlük defter
gıyabi hüküm
gıyabi tutuklama
hacı fışfış
hafi celse
hafif sıklet
halat çekme
halka yay
halkalı damar
haseki sultan
hasır demir
hasır çelik
hava indirme
havalı direksiyon
hayır dua
hazır değer
hazır kıta
hazır para
her yerdelik
hercai menekşe
hidroklorik asit
hileli iflas
hizmet içi eğitim
homolog kromozom
horoz ağırlık
horoz sıklet
hortumlu böcekler
hükmi şahsiyet
hızlı akın
hızlı hücum
iaşe ve ibate
idari bütçe
ikame mal
iki cihan
iki kanatlılar
iki yaşamlılar
iki çenekliler
iki çenetliler
ikili kök
ikincil grup
ikiz ünsüz
ikizkenar yamuk
ikizkenar üçgen
ileri karakol
ileri uç
ilerleyici benzeşme
iletken damarlar
ilgeçli tümleç
ilk devre
ilk dördün
ilk kânun
ilk teşrin
ilkel memeliler
ilkel toplum
iltisaki dil
imansız peynir
ince bağırsak
ince donanma
ince hastalık
ince saz
incirsi meyve
indirimli satış
inik deniz
inorganik kimya
inorganik öge
insan biçimcilik
iplik solucanlar
ipsi solucanlar
iptidai mektep
isimden türeme fiil
isimden türeme isim
isli küf
iyelikli tamlama
iyotlu tuz
izafi değer
iç asalak
iç ağa
iç barış
iç başkalaşım
iç bellek
iç borç
iç borçlanma
iç bölge
iç cümle
iç denge
iç deniz
iç dünya
iç ek
iç evlilik
iç gezegen
iç göbek
iç göç
iç harp
iç kafiye
iç kavuz
iç kulak
iç merkez
iç pazar
iç plazma
iç savaş
iç ses
iç tümce
iç türeme
iç tüzük
iç yarıçap
iç zar
iç çokgen
içe bakış
içe yöneliklik
içten evlilik
iğ iplik
iğne yaprak
iğne yapraklılar
işi duman
işlek ek
işteş fiil
kaba et
kaba kuşluk
kaba sıva
kaba yel
kabak kemane
kabarcıklı düzeç
kabarık deniz
kabuklu bit
kafadan bacaklılar
kalanlı bölme
kalay balık
kalmalı tümleç
kalsiyum fosfat
kalsiyum karbonat
kalsiyum klorür
kalsiyum oksit
kalın bağırsak
kalın ses
kamerî takvim
kamerî yıl
kamu tanrıcılık
kamış kalem
kancalı kurt
kandilli küfür
kanlı basur
kansız ameliyat
kapalı bölge
kapalı duruşma
kapalı hece
kapalı oturum
kapalı tohumlular
kapalı tribün
kaplan böcek
kaplan böcekler
kaptan paşa
kapçık meyve
kara boya
kara cümle
kara düzen
kara elmas
kara kehribar
kara koca
kara kusmuk
kara yel
kara yer
kararlı dalga
kararlı denge
kararsız denge
karasal oluşuk
karbonik asit
kardeş okul
karesel bölge
karma eğitim
karma okul
karma tamlama
karından bacaklılar
karşı akın
karşı devrim
karşı düşürüm
karşı gelim
karşı görüş
karşı olum
karşılıklı yapraklar
kassıl duyumlar
kati teminat
katlı kur
katma bütçe
katman bulut
katmerli badem
katmerli iyelik
kaval tüfek
kayağan taş
kayıt kuyut
kazanılmış hak
kazık kök
kazıklı humma
kaçık öz
kemane çekme
kemikli balıklar
kemiksi bölge
keseli kurt
kesici diş
kesik hava
kesik kelime
kesik kerem
kesik piramit
kesik prizma
kethüda bey
kilit sarma
kilovat saat
kirli kan
kirpiksi cisim
klor hidrat
klorik asit
koca kuşluk
koca yemiş
kokak ağaç
kokar ağaç
kokulu kiraz
kolektif ortaklık
kolsu ayaklılar
komandit ortaklık
komandit şirket
komando er
konsinye satış
konsolide borç
konsolide bütçe
kontra mizana
konvansiyonel silah
koruyucu hekimlik
koruyucu ünsüz
kovan anahtar
kozalaksı bez
kozmik madde
kozmik ışınlar
koşar adım
kromatik iplik
kubbeli delik
kulaklı somun
kulplu beygir
kur'an-ı kerim
kurala aykırılık
kurallı cümle
kuru pil
kuru yük
kutup engel
kuyruklu kelebek
kuyruklu kurbağa
kuyruklu yıldız
kuzey küre
kök bacaklılar
kök hücre
kök mantar
kök sap
kökten dincilik
kör baca
kör bağırsak
kör fare
kör kaya
kör köstebek
kör sıçan
kör yılan
köse buğday
kötü adam
kültüre alma
kürek ayaklılar
küresel üçgen
kütük demir
küçük dalga
küçük dil
küçük gezegen
küçük karga
küçük orta
küçük sakarca
küçük tansiyon
küçük terim
küçük önerme
küçük şalgam
kıdemli başçavuş
kıdemli üstçavuş
kıl burun
kılavuz kaptan
kılcal damar
kılcal kök
kılıç kuşanma
kın kanat
kın kanatlılar
kınalı bamya
kınalı keklik
kınalı yapıncak
kırmızı kart
kırık hava
kırıntı külte
kısa dalga
kısa devre
kısmi felç
kısmi seçim
kıyasa muhalefet
kızgın bulut
kızıl yel
laktik asit
lekeli humma
leşçil akbaba
likit fon
limitet ortaklık
limitet şirket
lirik şiir
lokma anahtar
lop incir
magnezyum karbonat
magnezyum klorür
magnezyum sülfat
mahallî idare
mahallî seçim
majör gam
makaralı kuş
makaslı böcek
makineli tüfek
maktu fiyat
mali yıl
manevi evlat
manevi ilim
manevi tazminat
manyetik alan
manyetik disk
manyetik kart
manyetik kartuş
manyetik kaset
manyetik tambur
manyetik şerit
margarik asit
marsıvan eşeği
medeni nikâh
memnu meyve
memnu mıntıka
menkul kıymetler
mensur şiir
merkezkaç kuvvet
metal yatak
metre kare
metre küp
metrik sistem
meyve yaprak
meşhut suç
meşruten tahliye
millî gelir
millî hüviyet
millî irade
millî kimlik
millî takım
mirî mal
mitral hücreler
mitral yetersizlik
modüler sistem
mor salkım
mudil cümle
mutlak değer
mutlak mera
mutlak sıcaklık
mutlak sıfır
muvazzaf hizmet
muvazzaf subay
muzır yayın
mücbir sebep
mücevher tarih
müktesep hak
mülhak bütçe
müteselsil borç
nakdî kıymet
nakdî teminat
naylon fatura
neden tanrıcılık
nefesli sazlar
nehir roman
net ücret
nihai karar
nispi temsil
nispi çoğunluk
nitrik asit
nitrik oksit
noktalı virgül
nâzım plan
nükleik asit
nısıf kutur
oksalik asit
oleik asit
on altılık
on ayaklılar
ondalık kesir
ondalık sistem
opsiyonlu sözleşme
ordu donatım
organik kimya
organik kütle
organik öge
orta ağırlık
orta dalga
orta damar
orta dikme
orta hakem
orta kulak
orta mektep
orta nokta
orta saha
orta sıklet
orta tedrisat
orta terim
orta yuvar
orta yuvarlak
orta çağ
orta şark
ortak bölen
otsu topluluk
oymalı yaprak
palmitik asit
para basma
paralel akım
paralel yüz
paraşütçü birlikler
pastoral oyun
paça kasnak
perde ayaklılar
perde duvar
petek göz
peşin piyasa
peşin satış
piknik tip
pikrik asit
planlı büyüme
potalı atış
potasyum hidroksit
potasyum klorür
potasyum nitrat
potasyum sülfat
potasyum sülfür
pozitif elektrik
pozitif film
pozitif hukuk
proforma fatura
pul kanatlılar
pullu sazan
püskül kuyruklular
püskürük külte
püskürük taş
radyoaktif izotoplar
rahat duruş
rayiç fiyat
rehber öğretmen
renk ölçme
renkli işitme
resimli roman
ritmik sayma
ruh bilimcilik
sabit fikir
sabit kur
sakallı kartal
salisilik asit
salkım başak
salkım söğüt
salma tomruk
salt değer
salt nem
salt sıcaklık
salt sıfır
sanal kart
sapkın kaya
saplı meşe
sarih meful
sarma kafiye
sarı benek
sarı kart
sarı lira
sarı yağız
sarılgan gövde
savı kanıtsama
saydam tabaka
sayfa ekran
sayılı fırtına
saçak bulut
saçak kök
saçlı meşe
sağ akçe
sağ açık
sağ bek
sağ haf
sağ iç
sağ kanat
sağ kol (ii)
sağlam para
sağmal inek
sağır kef
sağır nun
sağır yılan
sedefli kalker
sedefsi bulut
seferî durum
seferî hâl
sektirme pas
serbest bölge
serbest elektron
serbest güreş
serbest mıntıka
serbest nazım
serbest vuruş
sert buğday
sert damak
sert tabaka
sert zar
sert ünsüz
sesli film
sesli harf
sesli taş
sessiz film
sessiz harf
seyirlik oyun
seyyar hastane
sidikli meşe
silahtar ağa
silisik asit
sinek ağırlık
sinek sıklet
sinir kanatlılar
sitrik asit
sivri biber
sivri fare
sodyum bikarbonat
sodyum florit
sodyum fosfat
sodyum hidroksit
sodyum hiposülfit
sodyum karbonat
sodyum klorür
sodyum nitrat
sodyum sülfat
sol açık
sol bek
sol haf
sol iç
somut isim
son adam
son deyiş
son ek
son kânun
son ses
son teşrin
sorulu görünüm
sosyal güvenlik
sosyal konut
sosyal oluşum
sosyal tabaka
soy gazlar
soy oluş
soya çekim
soyut isim
soğukkanlı hayvanlar
spot alım
standart dil
suni peyk
suni çayır
sut kostik
suçüstü yakalama
sözde özne
sözel öğrenme
sözlü film
sözsüz oyun
sülfürik asit
sümüklü böcek
sümüksü zar
süs püs
süslü üslup
sütlü kengel
sütlü ot
süzgeç gagalılar
sıcak kuşak
sıcak para
sıcak savaş
sıralı cümle
sıralı oluş
sırıkla atlama
sızıcı ünsüz
taban basma
takdim tehir
takma ad
talk şist
tallı bitkiler
tam asalak
tam bakım
tam bölen
tam er
tam kafiye
tam siper
tampon bölge
tampon devlet
tanık tepe
tarafsız bölge
taraksı kas
tartarak yenme
tartarik asit
tasvirî fiil
tatlı sülümen
taze fasulye
taze para
taç beyit
taş küre
tefrika roman
tek delikliler
tek parmaklılar
tek pas
tek tanrıcılık
tek çekirdekliler
tek çenekliler
teknik direktör
tel küf
telli balıkçıl
temel cümle
temel duruş
temel haklar
temel sayılar
temel tümce
temel önerme
temiz kan
ters evirme
ticari dava
tikel önerme
titrek kavak
tohumlu bitkiler
tonlu ünsüz
tonsuz ünsüz
top ağaç
top patlıcan
top sürme
top çam
topbaş balık
toplum bilimcilik
toplum içincilik
torpido bot
tunç kafiye
tüm başkalaşma
tüm başlılar
tüm kirpikliler
tümel kavram
tümel önerme
tüy sıklet
tüylü meşe
tüyü bozuk
tüzel kişilik
tırnaksı kemik
umum müdür
umumi af
umumi coğrafya
umumi efkâr
umumi heyet
umumi kongre
umumi kâtip
umumi vekâletname
uydu kent
uygun adım
uygun katmanlaşma
uyur göz
uyuşturucu madde
uza duyum
uzak benzeşme
uzak benzeşmezlik
uzak göçüşme
uzak metatez
uzun atlama
uzun bacaklılar
uzun dalga
uzun diş
uzun hava
uzun hece
uzun hikâye
uzun levrek
uzun vokal
uzvi kimya
uçan kale
uçan kefal
uçan top
uçar kefal
valide sultan
vat saat
vatani görev
vokal müzik
vurmalı çalgılar
yabani akdiken
yabani enginar
yabani gül
yabani incir
yabani kimyon
yabani kiraz
yabani lahana
yabani marul
yabani menekşe
yabani mercanköşk
yabani sarımsak
yabani turp
yabani ıspanak
yad erklik
yad estetik
yad gerekircilik
yakalı kamçılılar
yakasız gömlek
yakasız mintan
yaklaşık değer
yakın benzeşme
yakın benzeşmezlik
yakın göçüşme
yakın çağ
yalan dünya
yalancı akasya
yalancı ayak
yalancı biber
yalancı safran
yalı yar
yalın cümle
yalın durum
yalın hâl
yalın isim
yalın kelime
yalın sıfat
yalın tümce
yalın zaman
yalın zarf
yalın üslup
yan cümle
yan dal
yan tümce
yan yüzergiller
yanal yüzey
yapma dil
yaprak taş
yapışıcı sap
yapışık çeneliler
yardımcı fiil
yardımcı hakem
yardımcı hücre
yarı alan
yarı asalak
yarı ağır sıklet
yarı başkalaşma
yarı final
yarı gölge
yarı kurak
yarı küre
yarı orta sıklet
yarı saha
yarı saydamlık
yarı son
yarım asalak
yarım ay
yarım ayak
yarım daire
yarım kafiye
yarım kanatlılar
yarım küre
yarım seren
yarım uyak
yasak meyve
yassı balıklar
yassı solucanlar
yassı solungaçlılar
yastık takoz
yatay seren
yaylı tambur
yazıcı kadın
yağlı güreş
yağlı kuyruk
yedek subay
yeni çağ
yetkili yargıç
yontuk düz
yoğun bakım
yoğun disk
yumru kök
yumuşak damak
yumuşak ünsüz
yutar hücre
yuvarlak ağızlılar
yuvarlak hesap
yuvarlak solucanlar
yuvarlak vokal
yöndeş açılar
yüksek atlama
yüksek basınç
yüksek gerilim
yürük aksak
yüze soğurma
yüzgeç ayaklılar
yıldırım takla
yıldız omurlular
yıldız tabya
yırtıcı kuş
yığın bulut
zar kanatlılar
zengin kafiye
zevalî saat
zeytinsi meyve
zincirleme tepkime
zor alım
züyuf akçe
çadırlı ordugâh
çakır ayaz
çalgıcı böcek
çalık kavak
çanak yaprak
çapraz kafiye
çapraz kur
çarliston biber
çarıklı erkânıharp
çatak bayrak
çatal ağız
çatal kundak
çekirdek aile
çekiç atma
çengel atış
çerçeve anlaşma
çevre teker
çeyrek son
çift küme
çift parmaklılar
çift vuruş
çift yıldız
çifte nağra
çizgi film
çok ayaklılar
çok hücreliler
çok tanrıcılık
çok tasım
çoklu ortam
çürük gaz
çürük para
ölmez çiçek
ölçünlü dil
ölü dalga
ölü doğum
ön alım
ön avurt
ön damak
ön ek
ön kol
ön oda
ön oluş
ön soruşturma
ön sözleşme
ön tasım
ön ödeme
öncel belirleme
öncel düzen
örtülü omurgalılar
ötücü kuşlar
öz bağışıklık
öz beslenme
öz denetim
öz direnç
öz indükleme
öz odun
öz ışın
özgül ağırlık
üleştirimli tüze
ürik asit
üst alize
üst dudak
üst geçiş
üst güverte
üst küme
üst tabaka
üst çene
üstün yapım
üç adım
üç aylar
üç nokta
üçlü bahis
üçlü ganyan
İlk çağ
ıraksak mercek
ırmak roman
ısı kuşak
ışık göçüm
ışık küre
ışıl küf
ışıl küfler
şeddeli eşek
şeytan taşlama
şiber valf
eş dost
kap kacak
kara mizah
okuma yazma
her şey
acı su
acıklı komedi
ben merkezci
ışın bilimci
özek doku
öz ısı
öz su
ön vurgu
ön yüzbaşı
ölü açı
çift sayı
çevre açı
yedek oyuncu
yağlı bitki
yağ doku
toplum bilimci
ters açı
taç kapı
sınır açı
sümük doku
sünger doku
su yolcu
su yolu
sindirim bilimci
selatin cami
rasyonel sayı
pek doku
ondalık sayı
orak ayı
negatif sayı
neden tanrıcı
müterakki vergi
merkez açı
kıkırdak doku
köken bilimci
kök saplı
komşu açı
kesirli sayı
kemik doku
katılgan doku
kas doku
karmaşık sayı
kapan duygu
kan doku
kan bilimci
kakma aşı
kaba sofu
ilk sezi
ilk yarı
geniş ünlü
geniş açı
eksi sayı
dış açı
düz yazı
düz ünlü
dönüşlü çatı
doğru açı
dik açı
dar açı
bütünler açı
bütüncü ekonomi
balık bilimci
artı sayı
asal sayı
asma köprü
ana kapı
ana kuyu
ana çizgi
ana arı
adli merci
abstre sayı
acıklı komedi
